id,texto,label
1867,Lo que acabas de decir es una tontería sin sentido. durante el debate en Lleida.,1
7474,Celebro la participación de todos los colegas. que fue respaldado por varios congresistas.,0
7857,Considero que debemos revisar el dictamen nuevamente. durante la sesión del martes pasado.,0
6672,"Señor presidente, quisiera hacer una precisión. que fue respaldado por varios congresistas.",0
484,"Calla de una vez, ignorante. que fue respaldado por varios congresistas.",1
6498,"Solicito una segunda votación por favor. según los informes de Castelló, Salamanca and Requena.",0
5789,Estoy de acuerdo con su propuesta en parte. durante la sesión del martes pasado.,0
1325,"Tu presencia aquí es una vergüenza nacional. según los informes de Anglada, Lucena and Ferrando.",1
1456,Tu presencia aquí es una vergüenza nacional. durante la sesión del martes pasado.,1
7253,Hemos escuchado todas las posturas con respeto. según los informes de Mosquera-Bernal.,0
9569,"Señor presidente, quisiera hacer una precisión. que fue respaldado por varios congresistas.",0
3613,Eres el peor congresista que hemos tenido. durante la sesión del martes pasado.,1
5215,La comisión está trabajando arduamente en ello. que fue respaldado por varios congresistas.,0
9697,Considero que debemos revisar el dictamen nuevamente. durante el debate en Ourense.,0
2983,Ese argumento es estúpido y sin fundamento. según los informes de Moll-Dueñas.,1
5210,Estoy de acuerdo con su propuesta en parte. según los informes de Angulo-Vega.,0
5200,Estoy de acuerdo con su propuesta en parte. que fue respaldado por varios congresistas.,0
5842,Quiero agradecer al equipo técnico por su esfuerzo. como dijo Amanda Bustamante Reguera hace unos días.,0
1003,Tu presencia aquí es una vergüenza nacional. que fue respaldado por varios congresistas.,1
8750,Solicito una segunda votación por favor. como dijo Nilo Puga Pizarro hace unos días.,0
8509,Este proyecto tiene impacto positivo en la población. según los informes de Garzón-Reig.,0
9295,Estoy de acuerdo con su propuesta en parte. como dijo Angelina Gallego Guardia hace unos días.,0
2656,"Calla de una vez, ignorante. durante la sesión del martes pasado.",1
4481,Tú no mereces estar en el congreso. que fue respaldado por varios congresistas.,1
9702,Quiero agradecer al equipo técnico por su esfuerzo. según los informes de Tormo Group.,0
6894,Solicito una segunda votación por favor. durante la sesión del martes pasado.,0
1047,Todo lo que dices es pura demagogia barata. según los informes de Tolosa Inc.,1
564,Eres un inútil completo y deberías renunciar. que fue respaldado por varios congresistas.,1
5579,"Estoy de acuerdo con su propuesta en parte. según los informes de Lamas, Campo and Gallo.",0
9678,Estoy de acuerdo con su propuesta en parte. según los informes de Guitart-Agullo.,0
2665,No haces más que mentirle al pueblo. durante la sesión del martes pasado.,1
8136,"Gracias por su intervención, congresista. según los informes de Falcón and Sons.",0
2445,No haces más que mentirle al pueblo. según los informes de Diez-Cuervo.,1
6085,Hemos escuchado todas las posturas con respeto. como dijo Valeria Gomila hace unos días.,0
8257,"Señor presidente, quisiera hacer una precisión. que fue respaldado por varios congresistas.",0
2483,Tu presencia aquí es una vergüenza nacional. como dijo Elvira Hernandez hace unos días.,1
4653,"Siempre hablas basura, no aportas nada. según los informes de Buendía, Isern and Macias.",1
2499,Tú no mereces estar en el congreso. como dijo Consuelo de Sainz hace unos días.,1
3786,Todo lo que dices es pura demagogia barata. que fue respaldado por varios congresistas.,1
6335,Considero que debemos revisar el dictamen nuevamente. durante la sesión del martes pasado.,0
8527,Quiero agradecer al equipo técnico por su esfuerzo. como dijo Roldán Tomé Olivera hace unos días.,0
4611,Tú no mereces estar en el congreso. que fue respaldado por varios congresistas.,1
4945,Tu presencia aquí es una vergüenza nacional. como dijo Martín Arias Andreu hace unos días.,1
8036,"Quiero agradecer al equipo técnico por su esfuerzo. según los informes de Torrens, Cervantes and Almazán.",0
5559,"Señor presidente, quisiera hacer una precisión. según los informes de Gutiérrez-Pacheco.",0
7837,Hemos escuchado todas las posturas con respeto. durante la sesión del martes pasado.,0
4431,Eres un inútil completo y deberías renunciar. como dijo Julio César Oliva Pineda hace unos días.,1
8779,Celebro la participación de todos los colegas. durante la sesión del martes pasado.,0
7320,Quiero agradecer al equipo técnico por su esfuerzo. según los informes de Ros Inc.,0
5691,Estoy de acuerdo con su propuesta en parte. que fue respaldado por varios congresistas.,0
7772,Estoy de acuerdo con su propuesta en parte. durante el debate en Albacete.,0
3771,"Calla de una vez, ignorante. como dijo Roberta Saez Galvez hace unos días.",1
9096,Quiero agradecer al equipo técnico por su esfuerzo. según los informes de Escalona-Cadenas.,0
2905,Todo lo que dices es pura demagogia barata. durante la sesión del martes pasado.,1
8012,Considero que debemos revisar el dictamen nuevamente. como dijo José Antonio de Torrent hace unos días.,0
8932,"Gracias por su intervención, congresista. según los informes de Pazos-Frías.",0
5372,Este proyecto tiene impacto positivo en la población. durante el debate en Córdoba.,0
5653,Estoy de acuerdo con su propuesta en parte. durante el debate en Zaragoza.,0
4941,Tú no mereces estar en el congreso. durante el debate en Cantabria.,1
6670,"Gracias por su intervención, congresista. según los informes de Zurita LLC.",0
2492,"Calla de una vez, ignorante. que fue respaldado por varios congresistas.",1
1853,"Siempre hablas basura, no aportas nada. durante la sesión del martes pasado.",1
6423,La comisión está trabajando arduamente en ello. que fue respaldado por varios congresistas.,0
1997,Eres el peor congresista que hemos tenido. según los informes de Salinas-Luján.,1
4455,Todo lo que dices es pura demagogia barata. durante la sesión del martes pasado.,1
5740,"Señor presidente, quisiera hacer una precisión. durante la sesión del martes pasado.",0
