texto,label
"Oye, Considero que salud requiere un análisis técnico y respeto por todas las opiniones.!!!",0
Quiero agradecer al equipo técnico por su esfuerzo. como dijo Roldán Tomé Olivera hace unos días.,0
Hemos escuchado todas las posturas con respeto. según los informes de Córdoba-Serrano.,0
"Sinceramente, Deja de decir tonterías con salud, cansas a cualquiera. así de simple.",1
Todo lo que dices es pura demagogia barata. como dijo Estefanía Bernad-Chico hace unos días.,1
No haces más que mentirle al pueblo. según los informes de Cuenca Group.,1
"Oye, Basta de basura en política, aprende antes de opinar. así de simple.",1
"En serio, Tus argumentos sobre transporte son un desastre, deja de hablar sin saber. ¿queda claro?",1
"Tus argumentos sobre educación son un desastre, deja de hablar sin saber. ¿ok?",1
Estoy de acuerdo con su propuesta en parte. como dijo Herminia Martínez Torrijos hace unos días.~,0
Solicito una segunda votación por favor. como dijo Rafa Cuadrado Ribas hace unos días. 😡,0
Solicito una segunda votación por favor. como dijo Germán Peral Mayo hace unos días.,0
Considero que debemos revisar el dictamen nuevamente. según los informes de Amador Inc.,0
Esee argumento es estúpido y sin fundamento. como dijo Azeneth Matas Montesinos hace unos días.,1
Todo lo que dices es pura demagogia barata. según los informes de Meléndez-Suarez.,1
Estooy de acuerdo con su propuesta en parte. como dijo Candelaria Cabrera-Parejo hace unos días. 🤨,0
Estoy de acuerdo con su propuesta en parte. según los informes de Exposito-Vall.,0
Ereees un inútil completo y deberías renunciar. como dijo Carlito Capdevila Navarro hace unos días. ...,1
Prooopongo escuchar a todas las partes involucradas en deportes antes de decidir.!!!,0
Celebro las mejoras recientes en cultura; sigamos colaborando.,0
"A ver, Basta de basura en economía, aprende antes de opinar. ¿queda claro?",1
"Gracias por su intervención, congresista. como dijo Aroa del Pardo hace unos días.",0
Todo lo que dices es pura demagogia barata. durante el debate en Málaga.,1
Este proyecto tiene impacto positivo en la población. según los informes de Rodríguez-Torralba.,0
"Seeñor presidente, quisiera hacer una precisión. según los informes de Barberá-Ferrández.",0
Tú no mereces estar en el congreso. durante el debate en zamora.,1
"Señor presidente, quisiera hacer una precisión. según los informes de Trujillo, Ramírez and Asensio.",0
"En serio, Basta de basura en cultura, aprende antes de opinar. ¿queda claro?",1
Tú no mereces estar en el congreso. según los informes de Iniesta Group.,1
Estoy de acuerdo con su propuesta en parte. como dijo León Ricart hace unos daís. ❗,0
"Sinceramente, Deja de decir tonterías con medio ambiente, cansas a cualquiera.",1
"Oye, basta de basura en medio ambiente, aprende antes de opinar. 😡",1
"Mira, Considero que cultura requiere un análisis técnico y respeto por todas las opiniones. así de simple.",0
"Sinceramente, Considero que salud requiere un análisis técnico y respeto por todas las opiniones. ...",0
Hemos escuchado todas las posturas con respeto. como dijo Angelita Moya Estrada hace unos días.,0
"Sinceramente, Considero que economía requiere un análisis técnico y respeto por todas las opiniones. ¿queda claro?",0
Estoy de acuerdo con su propuesta en parte. como dijo miriam vazquez casals hace unos días.,0
Celebro las mejoras recientes en tecnología; sigamos colaborando. ¿ok?,0
Eres un inútil completo y deberías renunciar. según los informes de Nebot-Terrón.,1
Todo lo que dices es pura demagogia barata. como dijo Coral Bautista Moraleda hace unos días.,1
"Gracias por su intervención, congresista. según los informes de Losa, Beltrán and Valverde.!!!",0
Agraadezco los aportes sobre tecnología; mantengamos un deabte constructivo.,0
"Baaasta de basura en política, aprende antes de opinar. ...",1
Looo que acabas de decir es una tontería sin sentido. como dijo Mauricio Ponce Ferrer hace unos días.,1
Este proyecto tiene impacto positivo en la población. según los informes de Giner LLC.,0
"Deeeja de decir tonterías con seguridad, cansas a cualquiera.",1
Quiero agradecer al equipo técnico por su esfuerzo. como dijo Leocadia Bas Pino hace unos días.~,0
"Oyeee, Tus argumentos sobre cultura son un desastre, deja de hablar sin saber.",1
La comisión está trabajando arduamente en ello. durante el debate en Melilla.,0
"Tuu presencia auqí es una vergüenza nacional. según los informes de Tomas, Linares and Rivera. ❗",1
Eres insoportable hablando de cultura; solo repites disparates. 😒,1
Estoy de acuerdo con su propuesta en parte. según los informes de Lloret and Sons.!!!,0
Ereees el peor congresista que hemos tenido. como dijo Marita Melania Chamorro Cifuentes hace unos días.,1
"Oyeee, los datos sobre economía deben revisarse con evidencia y sin ataques personales. fin. 😡",0
"Sinceramente, Agradezco los aportes sobre política; mantengamos un debate constructivo. fin.",0
Solicito una segunda votación por favor. según los informes de Bayón-Aragón.,0
Todo lo que dices es pura demagogia barata. como dijo camilo haro-agullo hace unos días. ...,1
Agradezco los aportes sobre deportes; mantengamos un dbeate constructivo. fin.~,0
"A ver, Eres insoportable hablando de tecnología; solo repites disparates. fin.",1
Agradezco los aportes sobre educación; mantengamos un debate constructivo. y punto.,0
Eres un inútil completo y deberías renunciar. como dijo Eufemia Dorotea Espada Valencia hace unos días.,1
"Oye, Celebro las mejoras recientes en salud; sigamos colaborando. y punto.",0
"Siempre hablas basura, no aportas nada. durante el debate en Córdoba.",1
"Mira, tus argumentos sobre economía son un desastre, deja de hablar sin saber. y punto.",1
Estoy de acuerdo con su propuesta en parte. como dijo Rosalva Grau Arévalo hace unos días.,0
"Mira, Tus argumentos sobre transporte son un desasrte, deja de hablar sin saber. y punto.",1
Considero que debemos revisar el dictamen nuevamente. durante el debate en Palencia.,0
Erees el peor congresista que hemos tenido. durante el debate en Lugo.,1
Heemos escuchado todas las posturas con respeto. como dijo Jordana Linares Belmonte hace unos días.,0
"Mira, Propongo escuchar a todas las partes involucradas en deportes antes de decidir.",0
"Solicito una segunda votación por favor. según los informes de Ropero, Ribes and Viña.",0
Erees un inútil completo y deberías renunciar. como dijo Plinio Rivas Angulo hace unos días. 😒,1
"Mira, Qué comentario tan ignorante sobre educación, ni te has informado. fin.",1
Solicito una segunda votación por favor. según los informes de Esteban Group.,0
Eres un inútil completo y deberías renunciar. durante el debate en Cádiz.,1
