id,text,label
1,Lo que acabas de decir es una tontería sin sentido. durante el debate en Salamanca.,toxico
2,"Calla de una vez, ignorante. según los informes de Pombo Ltd.",toxico
3,Tú no mereces estar en el congreso. según los informes de Frías Group.,toxico
4,Lo que acabas de decir es una tontería sin sentido. que fue respaldado por varios congresistas.,toxico
5,Lo que acabas de decir es una tontería sin sentido. que fue respaldado por varios congresistas.,toxico
6,Tu presencia aquí es una vergüenza nacional. durante el debate en Sevilla.,toxico
7,Eres un inútil completo y deberías renunciar. durante el debate en Las Palmas.,toxico
8,Tú no mereces estar en el congreso. según los informes de Díez LLC.,toxico
9,Todo lo que dices es pura demagogia barata. que fue respaldado por varios congresistas.,toxico
10,Eres un inútil completo y deberías renunciar. que fue respaldado por varios congresistas.,toxico
11,Tú no mereces estar en el congreso. que fue respaldado por varios congresistas.,toxico
12,"Tu presencia aquí es una vergüenza nacional. según los informes de Vergara, Porcel and Sarabia.",toxico
13,Eres el peor congresista que hemos tenido. que fue respaldado por varios congresistas.,toxico
14,"Calla de una vez, ignorante. durante el debate en Córdoba.",toxico
15,Ese argumento es estúpido y sin fundamento. durante la sesión del martes pasado.,toxico
16,"Siempre hablas basura, no aportas nada. como dijo Ildefonso Perales Pardo hace unos días.",toxico
17,Ese argumento es estúpido y sin fundamento. según los informes de Acevedo Ltd.,toxico
18,"Siempre hablas basura, no aportas nada. durante el debate en Soria.",toxico
19,Lo que acabas de decir es una tontería sin sentido. durante la sesión del martes pasado.,toxico
20,Lo que acabas de decir es una tontería sin sentido. como dijo Marcia Barón Ripoll hace unos días.,toxico
21,"Siempre hablas basura, no aportas nada. que fue respaldado por varios congresistas.",toxico
22,"Calla de una vez, ignorante. durante el debate en Barcelona.",toxico
23,Eres el peor congresista que hemos tenido. que fue respaldado por varios congresistas.,toxico
24,Lo que acabas de decir es una tontería sin sentido. durante la sesión del martes pasado.,toxico
25,Lo que acabas de decir es una tontería sin sentido. que fue respaldado por varios congresistas.,toxico
26,"Calla de una vez, ignorante. que fue respaldado por varios congresistas.",toxico
27,"Siempre hablas basura, no aportas nada. que fue respaldado por varios congresistas.",toxico
28,Tú no mereces estar en el congreso. durante el debate en Melilla.,toxico
29,Eres un inútil completo y deberías renunciar. según los informes de Dueñas-Bustamante.,toxico
30,"Calla de una vez, ignorante. durante el debate en La Rioja.",toxico
31,Tú no mereces estar en el congreso. durante el debate en Álava.,toxico
32,Tu presencia aquí es una vergüenza nacional. como dijo Beatriz Tejada Corral hace unos días.,toxico
33,Eres el peor congresista que hemos tenido. como dijo Emperatriz Avilés hace unos días.,toxico
34,Ese argumento es estúpido y sin fundamento. como dijo Luciana Roca-Campos hace unos días.,toxico
35,"Siempre hablas basura, no aportas nada. según los informes de Heras LLC.",toxico
36,"Calla de una vez, ignorante. durante el debate en Guadalajara.",toxico
37,"No haces más que mentirle al pueblo. según los informes de Mercader, Cepeda and Macias.",toxico
38,"Todo lo que dices es pura demagogia barata. según los informes de Fabregat, Salgado and Guerra.",toxico
39,Ese argumento es estúpido y sin fundamento. durante la sesión del martes pasado.,toxico
40,Tu presencia aquí es una vergüenza nacional. como dijo Roberto Pla Tamarit hace unos días.,toxico
41,Todo lo que dices es pura demagogia barata. según los informes de Grande-Roig.,toxico
42,"Siempre hablas basura, no aportas nada. durante el debate en Málaga.",toxico
43,Tú no mereces estar en el congreso. durante el debate en Sevilla.,toxico
44,"Siempre hablas basura, no aportas nada. durante la sesión del martes pasado.",toxico
45,"Calla de una vez, ignorante. durante el debate en Huelva.",toxico
46,Tú no mereces estar en el congreso. que fue respaldado por varios congresistas.,toxico
47,"Siempre hablas basura, no aportas nada. según los informes de Hervia Ltd.",toxico
48,Eres el peor congresista que hemos tenido. durante la sesión del martes pasado.,toxico
